time,temperature,co2,iaq,deviceId,target
2022-11-07 23:15:25+11:00,23.957019805908203,1065.705810546875,179.0,7BB92D02D696C5C5,1069.503173828125
2022-11-07 23:16:25+11:00,23.967151641845703,1070.4552001953125,180.0,7BB92D02D696C5C5,1054.273193359375
2022-11-07 23:17:25+11:00,23.964611053466797,1061.4361572265625,178.0,7BB92D02D696C5C5,1066.989990234375
2022-11-07 23:18:25+11:00,23.967151641845703,1063.4620361328125,178.0,7BB92D02D696C5C5,1065.288818359375
2022-11-07 23:19:25+11:00,23.967151641845703,1065.395751953125,179.0,7BB92D02D696C5C5,1065.9678955078125
2022-11-07 23:20:25+11:00,23.974775314331055,1071.514404296875,180.0,7BB92D02D696C5C5,1072.21923828125
2022-11-07 23:21:25+11:00,23.974775314331055,1066.1744384765625,179.0,7BB92D02D696C5C5,1068.32958984375
2022-11-07 23:22:25+11:00,23.967151641845703,1061.5025634765625,178.0,7BB92D02D696C5C5,1064.32568359375
2022-11-07 23:23:25+11:00,23.964611053466797,1052.3837890625,176.0,7BB92D02D696C5C5,1067.174560546875
2022-11-07 23:24:25+11:00,23.96718406677246,1065.5987548828125,179.0,7BB92D02D696C5C5,1053.738037109375
2022-11-07 23:25:25+11:00,23.96207046508789,1055.801025390625,177.0,7BB92D02D696C5C5,1058.1591796875
2022-11-07 23:26:25+11:00,23.964611053466797,1062.218505859375,178.0,7BB92D02D696C5C5,1053.72705078125
2022-11-07 23:27:25+11:00,23.959529876708984,1064.8497314453125,179.0,7BB92D02D696C5C5,1065.6614990234375
2022-11-07 23:28:25+11:00,23.967151641845703,1062.4288330078125,178.0,7BB92D02D696C5C5,1061.676025390625
2022-11-07 23:29:25+11:00,23.959529876708984,1069.76513671875,180.0,7BB92D02D696C5C5,1053.302734375
2022-11-07 23:30:25+11:00,23.96207046508789,1069.503173828125,180.0,7BB92D02D696C5C5,1068.7208251953125
2022-11-07 23:31:25+11:00,23.95444679260254,1054.273193359375,176.0,7BB92D02D696C5C5,1065.74267578125
2022-11-07 23:32:25+11:00,23.969724655151367,1066.989990234375,179.0,7BB92D02D696C5C5,1063.827392578125
2022-11-07 23:33:25+11:00,23.957019805908203,1065.288818359375,179.0,7BB92D02D696C5C5,1065.1671142578125
2022-11-07 23:34:25+11:00,23.951906204223633,1065.9678955078125,179.0,7BB92D02D696C5C5,1075.6031494140625
2022-11-07 23:35:26+11:00,23.959529876708984,1072.21923828125,180.0,7BB92D02D696C5C5,1067.5731201171875
2022-11-07 23:36:25+11:00,23.959529876708984,1068.32958984375,180.0,7BB92D02D696C5C5,1061.074462890625
2022-11-07 23:37:25+11:00,23.959529876708984,1064.32568359375,179.0,7BB92D02D696C5C5,1067.49560546875
2022-11-07 23:38:25+11:00,23.96207046508789,1067.174560546875,179.0,7BB92D02D696C5C5,1066.5582275390625
2022-11-07 23:39:25+11:00,23.95444679260254,1053.738037109375,176.0,7BB92D02D696C5C5,1059.9931640625
2022-11-07 23:40:25+11:00,23.949365615844727,1058.1591796875,177.0,7BB92D02D696C5C5,1061.4989013671875
2022-11-07 23:41:25+11:00,23.951906204223633,1053.72705078125,176.0,7BB92D02D696C5C5,1064.812744140625
2022-11-07 23:42:25+11:00,23.94682502746582,1065.6614990234375,179.0,7BB92D02D696C5C5,1061.9749755859375
2022-11-07 23:43:25+11:00,23.94682502746582,1061.676025390625,178.0,7BB92D02D696C5C5,1057.9820556640625
2022-11-07 23:44:25+11:00,23.949365615844727,1053.302734375,176.0,7BB92D02D696C5C5,1065.897705078125
2022-11-07 23:45:25+11:00,23.936695098876953,1068.7208251953125,180.0,7BB92D02D696C5C5,1060.1075439453125
2022-11-07 23:46:25+11:00,23.944284439086914,1065.74267578125,179.0,7BB92D02D696C5C5,1064.10791015625
2022-11-07 23:47:25+11:00,23.936662673950195,1063.827392578125,179.0,7BB92D02D696C5C5,1056.240234375
2022-11-07 23:48:25+11:00,23.93157958984375,1065.1671142578125,179.0,7BB92D02D696C5C5,1065.4697265625
2022-11-07 23:49:25+11:00,23.934120178222656,1075.6031494140625,181.0,7BB92D02D696C5C5,1060.08544921875
2022-11-07 23:50:25+11:00,23.936662673950195,1067.5731201171875,179.0,7BB92D02D696C5C5,1067.2188720703125
2022-11-07 23:51:25+11:00,23.93920135498047,1061.074462890625,178.0,7BB92D02D696C5C5,1064.620849609375
2022-11-07 23:52:25+11:00,23.93920135498047,1067.49560546875,179.0,7BB92D02D696C5C5,1064.5765380859375
2022-11-07 23:53:25+11:00,23.926496505737305,1066.5582275390625,179.0,7BB92D02D696C5C5,1063.4842529296875
2022-11-07 23:54:25+11:00,23.93157958984375,1059.9931640625,178.0,7BB92D02D696C5C5,1065.19287109375
2022-11-07 23:55:25+11:00,23.934152603149414,1061.4989013671875,178.0,7BB92D02D696C5C5,1058.2440185546875
2022-11-07 23:56:25+11:00,23.92903709411621,1064.812744140625,179.0,7BB92D02D696C5C5,1055.6866455078125
2022-11-07 23:57:25+11:00,23.92906951904297,1061.9749755859375,178.0,7BB92D02D696C5C5,1058.0299072265625
2022-11-07 23:58:25+11:00,23.92903709411621,1057.9820556640625,177.0,7BB92D02D696C5C5,1057.3768310546875
2022-11-07 23:59:25+11:00,23.92903709411621,1065.897705078125,179.0,7BB92D02D696C5C5,1060.517333984375
2022-11-08 00:00:25+11:00,23.92903709411621,1060.1075439453125,178.0,7BB92D02D696C5C5,1060.6796875
2022-11-08 00:01:25+11:00,23.93157958984375,1064.10791015625,179.0,7BB92D02D696C5C5,1055.6939697265625
