time,temperature,co2,iaq,deviceId
2022-11-07 23:26:25+11:00,23.964611053466797,1062.218505859375,178.0,7BB92D02D696C5C5
2022-11-07 23:26:55+11:00,24.152589797973633,651.8325805664062,79.0,99DD33EFB7990A71
2022-11-07 23:26:57+11:00,23.67154312133789,1155.583251953125,195.0,1DA36D3BE34D559A
2022-11-07 23:27:07+11:00,24.76853370666504,1071.9091796875,180.0,B84C4503F361D64A
2022-11-07 23:27:18+11:00,24.77210235595703,1057.0594482421875,177.0,E7184ABA7A055FD1
2022-11-07 23:27:25+11:00,23.959529876708984,1064.8497314453125,179.0,7BB92D02D696C5C5
2022-11-07 23:27:55+11:00,24.157638549804688,654.3065795898438,81.0,99DD33EFB7990A71
2022-11-07 23:27:57+11:00,23.676591873168945,1162.760986328125,197.0,1DA36D3BE34D559A
2022-11-07 23:28:08+11:00,24.765987396240234,1068.34814453125,180.0,B84C4503F361D64A
2022-11-07 23:28:18+11:00,24.794750213623047,1058.07421875,177.0,E7184ABA7A055FD1
2022-11-07 23:28:25+11:00,23.967151641845703,1062.4288330078125,178.0,7BB92D02D696C5C5
2022-11-07 23:28:55+11:00,24.15262222290039,649.492919921875,78.0,99DD33EFB7990A71
2022-11-07 23:28:57+11:00,23.67916488647461,1162.7757568359375,197.0,1DA36D3BE34D559A
2022-11-07 23:29:07+11:00,24.75835418701172,1069.8758544921875,180.0,B84C4503F361D64A
2022-11-07 23:29:18+11:00,24.794750213623047,1056.376708984375,177.0,E7184ABA7A055FD1
2022-11-07 23:29:25+11:00,23.959529876708984,1069.76513671875,180.0,7BB92D02D696C5C5
2022-11-07 23:29:55+11:00,24.152589797973633,650.1350708007812,78.0,99DD33EFB7990A71
2022-11-07 23:29:57+11:00,23.668970108032227,1154.424560546875,195.0,1DA36D3BE34D559A
2022-11-07 23:30:08+11:00,24.77107810974121,1068.5289306640625,180.0,B84C4503F361D64A
2022-11-07 23:30:18+11:00,24.789716720581055,1042.38671875,174.0,E7184ABA7A055FD1
2022-11-07 23:30:25+11:00,23.96207046508789,1069.503173828125,180.0,7BB92D02D696C5C5
2022-11-07 23:30:55+11:00,24.155115127563477,654.1441650390625,80.0,99DD33EFB7990A71
2022-11-07 23:30:57+11:00,23.67913246154785,1161.0301513671875,197.0,1DA36D3BE34D559A
2022-11-07 23:31:08+11:00,24.77871322631836,1068.425537109375,180.0,B84C4503F361D64A
2022-11-07 23:31:18+11:00,24.779653549194336,1056.373046875,177.0,E7184ABA7A055FD1
2022-11-07 23:31:25+11:00,23.95444679260254,1054.273193359375,176.0,7BB92D02D696C5C5
2022-11-07 23:31:55+11:00,24.1601619720459,651.7100830078125,79.0,99DD33EFB7990A71
2022-11-07 23:31:57+11:00,23.671510696411133,1161.915771484375,197.0,1DA36D3BE34D559A
2022-11-07 23:32:07+11:00,24.76853370666504,1065.6910400390625,179.0,B84C4503F361D64A
2022-11-07 23:32:18+11:00,24.779653549194336,1062.436279296875,178.0,E7184ABA7A055FD1
2022-11-07 23:32:25+11:00,23.969724655151367,1066.989990234375,179.0,7BB92D02D696C5C5
2022-11-07 23:32:55+11:00,24.157638549804688,653.5684814453125,80.0,99DD33EFB7990A71
2022-11-07 23:32:57+11:00,23.668970108032227,1156.91552734375,196.0,1DA36D3BE34D559A
2022-11-07 23:33:08+11:00,24.763444900512695,1068.0787353515625,180.0,B84C4503F361D64A
2022-11-07 23:33:18+11:00,24.784685134887695,1049.018310546875,175.0,E7184ABA7A055FD1
2022-11-07 23:33:25+11:00,23.957019805908203,1065.288818359375,179.0,7BB92D02D696C5C5
2022-11-07 23:33:55+11:00,24.157638549804688,651.56396484375,79.0,99DD33EFB7990A71
2022-11-07 23:33:57+11:00,23.668970108032227,1156.7420654296875,196.0,1DA36D3BE34D559A
2022-11-07 23:34:08+11:00,24.760896682739258,1078.4189453125,182.0,B84C4503F361D64A
2022-11-07 23:34:18+11:00,24.777135848999023,1053.749267578125,176.0,E7184ABA7A055FD1
2022-11-07 23:34:25+11:00,23.951906204223633,1065.9678955078125,179.0,7BB92D02D696C5C5
2022-11-07 23:34:55+11:00,24.1601619720459,650.8804931640625,79.0,99DD33EFB7990A71
2022-11-07 23:34:57+11:00,23.67405128479004,1151.5166015625,195.0,1DA36D3BE34D559A
2022-11-07 23:35:07+11:00,24.750751495361328,1074.267333984375,181.0,B84C4503F361D64A
2022-11-07 23:35:18+11:00,24.76706886291504,1054.332275390625,176.0,E7184ABA7A055FD1
2022-11-07 23:35:26+11:00,23.959529876708984,1072.21923828125,180.0,7BB92D02D696C5C5
2022-11-07 23:35:55+11:00,24.157638549804688,650.834716796875,79.0,99DD33EFB7990A71
2022-11-07 23:35:57+11:00,23.671510696411133,1156.369384765625,196.0,1DA36D3BE34D559A
2022-11-07 23:36:07+11:00,24.75835418701172,1067.7060546875,179.0,B84C4503F361D64A
2022-11-07 23:36:18+11:00,24.77210235595703,1057.5391845703125,177.0,E7184ABA7A055FD1
2022-11-07 23:36:25+11:00,23.959529876708984,1068.32958984375,180.0,7BB92D02D696C5C5
2022-11-07 23:36:55+11:00,24.157638549804688,650.2649536132812,78.0,99DD33EFB7990A71
2022-11-07 23:36:57+11:00,23.66642951965332,1162.1409912109375,197.0,1DA36D3BE34D559A
2022-11-07 23:37:08+11:00,24.75835418701172,1067.4512939453125,179.0,B84C4503F361D64A
2022-11-07 23:37:18+11:00,24.777135848999023,1054.11083984375,176.0,E7184ABA7A055FD1
2022-11-07 23:37:25+11:00,23.959529876708984,1064.32568359375,179.0,7BB92D02D696C5C5
2022-11-07 23:37:55+11:00,24.162687301635742,652.6001586914062,80.0,99DD33EFB7990A71
2022-11-07 23:37:57+11:00,23.671510696411133,1153.2177734375,195.0,1DA36D3BE34D559A
2022-11-07 23:38:07+11:00,24.753263473510742,1077.4114990234375,182.0,B84C4503F361D64A
2022-11-07 23:38:18+11:00,24.77210235595703,1051.1622314453125,176.0,E7184ABA7A055FD1
2022-11-07 23:38:25+11:00,23.96207046508789,1067.174560546875,179.0,7BB92D02D696C5C5
2022-11-07 23:38:55+11:00,24.157638549804688,652.2576904296875,79.0,99DD33EFB7990A71
2022-11-07 23:38:57+11:00,23.671510696411133,1158.26611328125,197.0,1DA36D3BE34D559A
2022-11-07 23:39:07+11:00,24.755807876586914,1073.5625,181.0,B84C4503F361D64A
2022-11-07 23:39:18+11:00,24.76958656311035,1056.140625,177.0,E7184ABA7A055FD1
